epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
76,506.261,1.18691,0.70943,0.01284,0.0662,0.93542,0.98305,0.97982,0.72398,0.99971,0.36517,0.01418,0.00364,0.000694428,0.000694428,0.000694428
77,512.768,1.16196,0.7016,0.01412,0.0653,0.96377,0.98305,0.9907,0.71899,1.06605,0.34758,0.01498,0.00445,0.000687222,0.000687222,0.000687222
78,519.283,1.16829,0.71131,0.01315,0.06965,0.98112,0.9661,0.9829,0.77799,0.85425,0.30829,0.01192,0.00468,0.00067997,0.00067997,0.00067997
79,525.789,1.20146,0.68386,0.01393,0.07457,0.94584,0.9661,0.98669,0.76342,0.92722,0.35886,0.01309,0.00212,0.000672675,0.000672675,0.000672675
80,532.294,1.19651,0.70692,0.01362,0.06878,0.97756,0.94915,0.98913,0.76769,0.89672,0.33657,0.01307,0.00249,0.000665339,0.000665339,0.000665339
81,538.95,1.17836,0.73061,0.01336,0.06336,0.98051,0.9661,0.99146,0.79223,0.79882,0.28295,0.01119,0.00237,0.000657963,0.000657963,0.000657963
82,545.459,1.19549,0.71339,0.01299,0.06461,0.98297,0.97818,0.99219,0.76435,0.92021,0.29535,0.01253,0.00467,0.00065055,0.00065055,0.00065055
83,551.963,1.16999,0.67828,0.01369,0.06638,0.91671,0.9661,0.98131,0.7426,0.95988,0.37783,0.01285,0.00264,0.000643101,0.000643101,0.000643101
84,558.44,1.19934,0.72268,0.01382,0.06719,0.95577,0.91525,0.97824,0.7546,0.91861,0.36664,0.0125,0.00464,0.000635617,0.000635617,0.000635617
85,564.972,1.17819,0.68416,0.01334,0.06646,0.9319,0.92787,0.96967,0.713,1.00821,0.42084,0.01319,0.0019,0.000628101,0.000628101,0.000628101
86,571.538,1.17715,0.68212,0.01289,0.06411,0.93428,0.9638,0.97961,0.75161,0.91369,0.39044,0.01299,0.00261,0.000620555,0.000620555,0.000620555
87,578.043,1.1918,0.69057,0.01292,0.06869,0.92865,0.9661,0.96778,0.70489,1.1012,0.41586,0.01472,0.00222,0.000612981,0.000612981,0.000612981
88,584.527,1.17298,0.71931,0.01359,0.06886,0.95721,0.98305,0.982,0.73235,1.03027,0.35137,0.01514,0.00266,0.00060538,0.00060538,0.00060538
89,591.055,1.18216,0.7364,0.01463,0.07225,0.95869,0.94915,0.98528,0.71771,1.04088,0.38076,0.01428,0.00629,0.000597754,0.000597754,0.000597754
90,597.618,1.18718,0.70714,0.01433,0.06264,0.95916,0.9661,0.9893,0.77897,0.83694,0.30098,0.01173,0.00236,0.000590105,0.000590105,0.000590105
